ID,NOMBRE,ID_DEPORTE
594,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Shooting Championships, Honorary Members and Associates",50
595,"Free Pistol, 50 metres, Team",8
596,"Dueling Pistol, 30 metres, Team",8
597,"Military Pistol, 25 metres",24
598,"Muzzle-Loading Pistol, 25 metres",24
599,"Military Rifle, 200 metres",24
600,"Small-Bore Rifle, Disappearing Target, 25 metres, Team",24
601,"Free Pistol, 30 metres",24
602,17-Man Naval Rowing Boats,25
603,Team,61
604,"Architecture, Further Entries, Open",7
605,Fencing,24
606,"Sabre, Individual",24
607,"Rapid-Fire Pistol, 25 metres",6
608,"Small-Bore Rifle, Prone, 50 metres",6
609,"Free Pistol, 50 yards",3
610,"Free Pistol, 50 yards, Team",3
611,"Small-Bore Rifle, 50 and 100 yards, Team",3
612,"Small-Bore Rifle, Disappearing Target, 25 yards",3
613,"Small-Bore Rifle, Moving Target, 25 yards",3
614,"Free Pistol, 50 metres",3
615,"Free Pistol, 50 metres, Team",3
616,"Dueling Pistol, 30 metres",3
617,"Small-Bore Rifle, Any Position, 50 metres",3
618,"Small-Bore Rifle, Prone, 50 metres, Team",3
619,"Small-Bore Rifle, Disappearing Target, 25 metres",3
620,"Small-Bore Rifle, Disappearing Target, 25 metres, Team",3
621,Art Competitions,24
622,"Sculpturing, Open",24
623,100 metres Backstroke,47
624,Solo,61
625,Duet,61
626,50 metres Freestyle,47
627,200 metres Freestyle,47
628,100 metres Breaststroke,47
629,4 × 200 metres Freestyle Relay,47
630,"1,500 metres Freestyle",47
631,100 metres Butterfly,47
632,200 metres Butterfly,47
633,200 metres Individual Medley,47
634,4 × 100 metres Medley Relay,47
635,400 metres Individual Medley,47
636,800 metres Freestyle,47
637,4 × 100 metres Freestyle Relay,47
638,200 metres Backstroke,47
639,Swimming (Aquatics),34
640,100 metres Freestyle,34
641,300 metres Freestyle,34
642,Synchronized Springboard,34
643,Diving (Aquatics),10
644,Springboard,10
645,Swimming (Aquatics),10
646,100 metres Freestyle,10
647,400 metres Freestyle,10
648,"1,500 metres Freestyle",10
649,4 × 200 metres Freestyle Relay,10
650,"1,000 metres Freestyle",47
651,200 metres Obstacle Course,47
652,Wrestling,34
653,"Welterweight, Freestyle",34
654,400 metres Breaststroke,47
655,"1,200 metres Freestyle",47
656,Swimming (Aquatics),58
657,100 metres Freestyle,58
658,400 metres Freestyle,58
659,440 yards Freestyle,47
660,880 yards Freestyle,47
661,200 metres Freestyle,58
662,"1,000 metres Freestyle",58
663,"4,000 metres Freestyle",58
664,4 × 200 metres Freestyle Relay,34
665,100 metres Backstroke,34
666,Rowing,47
667,Swimming (Aquatics),50
668,100 metres Freestyle,50
669,4 × 200 metres Freestyle Relay,50
670,200 metres Breaststroke,50
671,Underwater Swimming,47
672,Fencing,6
673,"Foil, Individual",6
674,"Sabre, Individual",6
675,"Free Pistol, 30 metres",6
676,"Military Pistol, 25 metres",6
677,"Muzzle-Loading Pistol, 25 metres",6
678,Swimming (Aquatics),6
679,100 metres Freestyle,6
680,500 metres Freestyle,6
681,"1,200 metres Freestyle",6
682,4 × 200 metres Freestyle Relay,58
683,Modern Pentathlon,34
684,Individual,34
685,Art Competitions,34
686,"Architecture, Designs For Town Planning, Open",34
687,300 metres Freestyle,47
688,"4,000 metres Freestyle",47
689,200 metres Team Swimming,47
690,Parallel Bars,6
691,Team All-Around,34
692,4 × 250 metres Freestyle Relay,34
693,50 yards Freestyle,47
694,4 × 50 yards Freestyle Relay,47
695,100 yards Backstroke,47
696,440 yards Breaststroke,47
697,50 yards Freestyle,34
698,100 yards Freestyle,34
699,440 yards Freestyle,34
700,4 × 50 yards Freestyle Relay,34
701,100 yards Backstroke,34
702,440 yards Breaststroke,34
703,400 metres Freestyle,34
704,1 mile Freestyle,34
705,100 yards Freestyle,47
706,220 yards Freestyle,47
707,200 metres Team Swimming,58
708,100 metres Freestyle For Sailors,47
709,"440 yards, Handicap",47
710,"1,500 metres Freestyle",34
711,Olympic Distance,62
712,200 metres Breaststroke,34
713,4 × 100 metres Freestyle Relay,34
714,Water Polo (Aquatics),34
715,Water Polo,34
716,Diving (Aquatics),6
717,Platform,6
718,"1,500 metres Freestyle",58
719,Plunge For Distance,47
720,"880 yards, Handicap",47
721,"220 yards, Handicap",47
722,"1 mile, Handicap",47
723,"880 yards, Handicap",34
724,"100 yards, Handicap",47
725,Beach Volleyball,63
726,Volleyball,64
727,100 metres Backstroke,58
728,200 metres Breaststroke,58
729,200 metres Backstroke,58
730,200 metres Obstacle Course,58
731,Water Polo (Aquatics),40
732,Water Polo,40
733,Football (Football),47
734,Football,47
735,Bantamweight,52
736,Middle-Heavyweight,52
737,Lightweight,52
738,Middleweight,52
739,Light-Heavyweight,52
740,Heavyweight II,52
741,Heavyweight I,52
742,Heavyweight,52
743,Super-Heavyweight,52
744,Flyweight,52
745,Wrestling,52
746,"Light-Heavyweight, Freestyle",52
747,"Unlimited, One Hand",52
748,"Light-Heavyweight, Freestyle",53
749,"Lightweight, Freestyle",53
750,20 kilometres Race Walk,6
751,"Featherweight, Greco-Roman",53
752,Athletics,52
753,4 × 100 metres Relay,52
754,"Unlimited, Two Hands",52
755,All-Around Dumbbell Contest,52
756,"Featherweight, Freestyle",53
757,"Light-Flyweight, Freestyle",53
758,"Bantamweight, Freestyle",53
759,"Flyweight, Freestyle",53
760,"Middleweight, Freestyle",53
761,"Bantamweight, Greco-Roman",53
762,"Middleweight, Greco-Roman",53
763,"Super-Heavyweight, Greco-Roman",53
764,"Super-Heavyweight, Freestyle",53
765,"Heavyweight, Greco-Roman",53
766,"Light-Heavyweight, Greco-Roman",53
767,"Flyweight, Greco-Roman",53
768,"Middleweight B, Greco-Roman",53
769,"Middleweight A, Greco-Roman",53
770,"Light-Flyweight, Greco-Roman",53
771,"Heavyweight, Greco-Roman",52
772,High Jump,52
773,Standing High Jump,52
774,Pole Vault,52
775,Long Jump,52
776,Standing Long Jump,52
777,Triple Jump,52
778,"All-Around, Greco-Roman",53
779,"Unlimited Class, Greco-Roman",53
780,Glíma,53
781,Glíma,65
782,Athletics,53
783,"880 yards, Handicap",53
784,Rowing,53
785,"Double Sculls, Intermediate",53
786,"Shot Put, Handicap",53
787,Two Person Dinghy,13
788,Windsurfer,13
789,One Person Dinghy,13
790,"Multihull, Open",13
791,Three Person Keelboat,13
792,"Two Person Dinghy, Open",13
793,"5.5 metres, Open",13
794,"7 metres, Open",13
795,"Two Person Heavyweight Dinghy, Open",13
796,One Person Heavyweight Dinghy,13
797,"Windsurfer, Open",13
798,"Open, Open",13
799,"1-2 Ton, Open",13
800,"12 metres, Open",13
801,"40 metres², Open",13
802,"10 metres, Open",13
803,"½-1 Ton, Open",13
804,"Music, Compositions For Orchestra, Open",7
805,Two Person Keelboat,13
806,"30 metres², Open",13
807,"12 foot, Open",13
808,"10-20 Ton, Open",13
809,"2-3 Ton, Open",13
810,"Skiff, Open",13
811,"0-½ Ton, Open",13
812,"20+ Ton, Open",13
813,"6.5 metres, Open",13
814,"3-10 Ton, Open",13
815,Multihull,13
816,400 metres Hurdles,6
817,Heptathlon,6
818,"3,000 metres Steeplechase",6
819,"5,000 metres",6
820,50 kilometres Race Walk,6
821,"10,000 metres",6
822,100 metres Hurdles,6
823,80 metres Hurdles,6
824,10 kilometres Race Walk,6
825,Pentathlon,6
826,5 miles,6
827,10 miles Race Walk,6
828,Boxing,6
829,Lightweight,6
830,"100 yards, Handicap",6
831,"120 yards Hurdles, Handicap",6
832,"3,500 metres Race Walk",6
833,"Cross-Country, Individual",6
834,"3,000 metres Race Walk",6
835,60 metres,6
836,"100 metres, Handicap",6
837,Athletics,6
838,"5,000 metres, Team",6
839,"Discus Throw, Both Hands",6
840,"2,500 metres Steeplechase",6
841,"2,500 metres Steeplechase, Handicap",6
842,"3,200 metres Steeplechase",6
843,"3,000 metres, Team",6
844,"Cross-Country, Team",6
845,Standing Triple Jump,6
846,"Javelin Throw, Freestyle",6
847,Wrestling,6
848,"Light-Heavyweight, Greco-Roman",6
849,"1,600 metres Medley Relay",6
850,"1 mile, Handicap",6
851,"56-pound Weight Throw, Handicap",6
852,"Pole Vault, Handicap",6
853,Heavyweight,6
854,200 metres Hurdles,6
855,"4,000 metres Steeplechase",6
856,"1,500 metres, Handicap",6
857,"440 yards, Handicap",6
858,"880 yards, Handicap",6
859,"800 metres, Handicap",6
860,Athletics,47
861,Shot Put,47
