ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
484,False,2.0,COMPLETED,3,2,89
485,False,1.0,COMPLETED,4,2,77
486,False,4.0,COMPLETED,1,2,78
487,False,17.0,COMPLETED,1,14,70
488,False,12.0,COMPLETED,1,5,70
489,False,4.0,COMPLETED,1,3,70
490,False,7.0,COMPLETED,1,13,70
491,False,46.0,COMPLETED,1,13,71
492,False,43.0,COMPLETED,1,13,71
493,False,44.0,COMPLETED,1,13,71
494,False,61.0,COMPLETED,1,5,71
495,False,17.0,COMPLETED,1,5,72
496,False,60.0,COMPLETED,1,5,71
497,False,58.0,COMPLETED,1,5,71
498,False,63.0,COMPLETED,1,3,71
499,False,53.0,COMPLETED,1,13,70
500,False,73.0,COMPLETED,1,14,70
501,False,22.0,COMPLETED,1,14,73
502,False,63.0,COMPLETED,1,5,70
503,False,20.0,COMPLETED,1,5,73
504,False,48.0,COMPLETED,1,3,70
505,False,43.0,COMPLETED,1,6,70
506,False,55.0,COMPLETED,1,13,70
507,False,71.0,COMPLETED,1,5,70
508,False,80.0,COMPLETED,1,14,70
509,False,60.0,COMPLETED,1,13,70
510,False,76.0,COMPLETED,1,14,70
511,False,75.0,COMPLETED,1,5,70
512,False,5.0,COMPLETED,1,3,71
513,False,31.0,COMPLETED,1,3,71
514,False,61.0,COMPLETED,1,6,71
515,False,26.0,COMPLETED,1,20,71
516,False,62.0,COMPLETED,1,14,70
517,False,27.0,COMPLETED,1,20,70
518,False,44.0,COMPLETED,1,13,70
519,False,43.0,COMPLETED,1,14,70
520,False,49.0,COMPLETED,1,5,70
521,False,30.0,COMPLETED,1,5,70
522,False,27.0,COMPLETED,1,20,71
523,False,35.0,COMPLETED,1,5,70
524,False,30.0,COMPLETED,1,20,70
525,False,45.0,COMPLETED,1,3,70
526,False,16.0,COMPLETED,1,18,71
527,False,36.0,COMPLETED,1,13,71
528,False,34.0,COMPLETED,1,14,71
529,False,11.0,COMPLETED,1,19,71
530,False,25.0,COMPLETED,1,13,71
531,False,5.0,COMPLETED,1,18,71
532,False,33.0,COMPLETED,1,13,71
533,False,39.0,COMPLETED,1,19,71
534,False,32.0,COMPLETED,1,19,71
535,False,60.0,COMPLETED,1,5,70
536,False,19.0,COMPLETED,1,5,73
537,False,58.0,COMPLETED,1,14,70
538,False,16.0,COMPLETED,1,14,73
539,False,51.0,COMPLETED,1,14,70
540,False,25.0,COMPLETED,1,19,70
541,False,16.0,COMPLETED,1,18,70
542,False,6.0,COMPLETED,1,19,70
543,False,7.0,COMPLETED,1,18,70
544,False,24.0,COMPLETED,1,14,70
545,False,41.0,COMPLETED,1,19,70
546,False,70.0,COMPLETED,1,5,70
547,False,37.0,COMPLETED,1,3,70
548,False,15.0,COMPLETED,1,3,73
549,False,14.0,COMPLETED,1,5,70
550,False,38.0,COMPLETED,1,3,70
551,False,47.0,COMPLETED,1,6,70
552,False,49.0,COMPLETED,1,3,70
553,False,2.0,COMPLETED,3,3,71
554,False,6.0,COMPLETED,1,3,72
555,False,10.0,COMPLETED,1,6,71
556,False,6.0,COMPLETED,1,6,72
557,False,8.0,COMPLETED,1,7,71
558,False,2.0,COMPLETED,3,7,72
559,False,2.0,COMPLETED,3,13,71
560,False,11.0,COMPLETED,1,14,71
561,False,9.0,COMPLETED,1,14,72
562,False,13.0,COMPLETED,1,5,71
563,False,2.0,COMPLETED,3,5,72
564,False,22.0,COMPLETED,1,14,71
565,False,31.0,COMPLETED,1,5,71
566,False,18.0,COMPLETED,1,13,71
567,False,4.0,COMPLETED,1,5,71
568,False,7.0,COMPLETED,1,3,71
569,False,8.0,COMPLETED,1,13,71
