ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
189955,23,88945,62000,182
189956,24,88946,82525,183
189957,21,88947,82525,183
189958,25,88948,62634,183
189959,34,88949,91466,183
189960,38,88949,91467,183
189961,42,88949,91468,183
189962,21,88950,91469,183
189963,25,88950,91470,183
189964,29,88950,91471,183
189965,33,88950,91472,183
189966,24,88951,65405,183
189967,24,88951,62506,183
189968,24,88951,64152,183
189969,32,88951,91473,183
189970,25,88952,64152,183
189971,20,88953,82525,183
189972,24,88953,66273,183
189973,24,88953,66274,183
189974,28,88953,67862,183
189975,28,88953,91474,183
189976,29,88954,64152,183
189977,25,88955,62634,183
189978,28,88956,62800,183
189979,28,88956,62634,183
189980,32,88956,81478,183
189981,24,88957,64152,183
189982,28,88957,91475,183
189983,25,88958,91476,183
189984,20,88959,82525,183
189985,23,88960,91477,183
189986,20,88961,62634,183
189987,18,88962,61158,185
189988,22,88962,91478,185
189989,19,88963,69542,186
189990,25,88964,63862,188
189991,28,88965,91479,188
189992,24,88966,63862,188
189993,25,88967,62800,188
189994,25,88967,69786,188
189995,29,88967,60750,188
189996,21,88968,69605,188
189997,25,88969,69786,188
189998,26,88970,61643,188
189999,26,88971,63862,188
190000,20,88972,69786,188
190001,25,88973,69542,121
190002,26,88974,62060,121
190003,21,88975,69284,190
190004,25,88975,91480,165
190005,29,88975,91481,165
190006,29,88976,62329,190
190007,21,88977,60824,222
190008,25,88977,81472,222
190009,15,88978,12041,191
190010,23,88979,67847,192
190011,26,88980,71378,192
190012,30,88980,90803,192
190013,27,88981,61703,192
190014,27,88982,70651,192
190015,27,88983,62329,192
190016,26,88984,91482,192
190017,30,88984,71459,192
190018,34,88984,91483,192
190019,38,88984,91484,192
190020,18,88985,61871,193
190021,20,88986,91485,194
190022,23,88987,91486,194
190023,27,88987,91487,194
190024,23,88988,91488,194
190025,27,88988,91489,194
190026,31,88988,91490,194
190027,27,88989,91491,194
190028,35,88989,91492,194
190029,25,88990,62092,194
190030,25,88990,69786,194
190031,21,88991,91493,194
190032,25,88991,91494,194
190033,21,88992,91495,194
190034,25,88992,91496,194
190035,29,88992,91497,194
190036,26,88993,91498,194
190037,30,88993,91499,194
190038,34,88993,91500,194
190039,23,88994,69786,194
190040,33,88994,54871,194
190041,31,88996,91501,195
190042,29,88997,82585,195
190043,24,88998,91502,195
190044,24,88999,91503,195
190045,28,88999,91504,195
190046,32,88999,91505,195
190047,24,89000,82637,195
190048,26,89001,91506,195
190049,23,89002,68758,195
190050,27,89002,91507,195
190051,24,89003,61703,195
190052,28,89003,68268,195
190053,20,89004,91508,195
190054,24,89004,91509,195
190055,27,89005,91510,195
190056,31,89005,91511,195
190057,35,89005,91512,195
190058,24,89006,82657,195
190059,28,89006,91513,195
190060,27,89007,91514,196
190061,28,89008,88928,196
190062,23,89009,62092,197
190063,22,89010,91515,197
190064,30,89010,62739,197
190065,24,89011,91516,198
190066,28,89011,71459,198
190067,26,89012,62816,198
190068,30,89013,62816,198
190069,24,89014,65351,201
190070,20,89015,65351,201
190071,28,89015,91517,201
190072,24,89016,62634,201
190073,22,89017,62634,201
190074,21,89018,62634,201
190075,25,89019,62634,201
190076,22,89020,52801,201
190077,29,89021,69166,201
190078,29,89021,65351,201
190079,33,89021,82655,201
190080,20,89022,65351,201
190081,26,89023,52801,201
190082,20,89024,52801,201
190083,28,89024,82659,201
190084,26,89025,91518,202
190085,20,89026,91519,203
190086,37,89027,71371,203
190087,15,89028,73360,205
190088,22,89030,61987,206
190089,22,89031,69621,206
190090,23,89032,62060,207
190091,23,89032,63347,207
190092,27,89032,62101,207
190093,27,89032,63906,207
190094,19,89033,61166,207
190095,23,89033,61989,207
190096,23,89033,70276,207
190097,18,89034,62637,207
190098,31,89035,61703,207
190099,17,89036,63347,207
190100,21,89036,91520,207
190101,21,89036,63906,207
190102,25,89036,82619,207
190103,25,89036,91521,207
190104,29,89036,91522,207
190105,20,89037,67853,207
190106,22,89038,60824,207
