ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
715,28,237,363,13
716,28,237,364,13
717,24,238,365,12
718,24,239,366,12
719,28,239,367,12
720,25,240,138,12
721,25,241,368,12
722,27,242,341,12
723,21,243,369,12
724,25,243,370,12
725,22,244,103,12
726,26,244,105,12
727,20,245,340,12
728,28,246,341,12
729,28,247,365,12
730,32,247,371,12
731,17,248,372,12
732,21,248,373,14
733,25,248,374,14
734,25,248,375,14
735,29,249,149,12
736,25,250,376,12
737,26,251,377,12
738,30,251,267,12
739,28,252,377,12
740,24,253,378,12
741,22,254,365,12
742,26,254,371,12
743,30,254,379,12
744,24,255,380,12
745,28,255,381,12
746,26,256,376,12
747,22,257,365,12
748,26,257,159,12
749,30,257,382,12
750,34,257,383,12
751,24,258,384,12
752,28,258,385,12
753,32,258,159,12
754,29,259,386,12
755,21,260,384,12
756,25,260,385,12
757,29,260,159,12
758,19,261,313,12
759,23,261,163,12
760,27,261,61,12
761,27,262,267,12
762,31,262,367,12
763,30,263,381,12
764,25,264,387,12
765,21,265,15,12
766,25,265,219,12
767,29,265,388,12
768,29,265,389,12
769,28,266,163,12
770,19,267,174,12
771,22,268,390,12
772,24,269,61,12
773,28,270,150,15
774,30,271,111,15
775,30,271,308,15
776,23,272,359,15
777,23,273,304,15
778,27,273,131,15
779,18,274,78,15
780,36,275,346,15
781,35,276,271,15
782,35,276,346,15
783,18,277,391,15
784,22,277,392,15
785,26,277,224,15
786,26,277,393,15
787,20,278,333,15
788,20,278,259,15
789,24,278,204,15
790,22,279,394,15
791,26,279,395,15
792,30,279,396,15
793,34,279,397,15
794,38,279,398,15
795,41,280,227,15
796,23,281,386,15
797,23,281,256,15
798,27,281,399,15
799,25,282,227,15
800,25,282,400,15
801,45,283,74,15
802,45,283,308,15
803,45,283,199,15
804,31,284,174,15
805,31,284,401,15
806,30,285,89,15
807,30,285,259,15
808,28,286,217,15
809,28,286,256,15
810,32,286,223,15
811,32,286,399,15
812,19,287,174,15
813,19,287,401,15
814,23,287,402,15
815,23,287,394,15
816,27,287,206,15
817,27,287,395,15
818,31,287,396,15
819,35,287,397,15
820,39,287,403,15
821,39,287,398,15
822,43,287,404,15
